KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMNOMPRC,TMNOMPRC_FLG,TMYTM
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1961-10-31,9.3864437348978E+01,D,3.1659300243840E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1961-11-30,9.3611713530546E+01,D,3.3052610410238E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1961-12-29,9.3437709901801E+01,D,3.3844863117058E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-01-31,9.3244850122401E+01,D,3.4970677779321E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-02-28,9.3713530289115E+01,D,3.2463803535562E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-03-30,9.3887447205595E+01,D,3.1450580403444E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-04-30,9.3651188362094E+01,D,3.2751668684561E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-05-31,9.3880135379917E+01,D,3.1662434274548E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-06-29,9.3450854726374E+01,D,3.3774720194703E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-07-31,9.3351110516969E+01,D,3.4354149519196E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-08-31,9.3859165243740E+01,D,3.1644036741492E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-09-28,9.4010496307746E+01,D,3.0755481673211E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-10-31,9.4007110415973E+01,D,3.0899881927871E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-11-30,9.3796115110965E+01,D,3.1979566247053E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1962-12-31,9.3784244961701E+01,D,3.2042760022105E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-01-31,9.4065229512874E+01,D,3.0632819435800E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-02-28,9.3981012043974E+01,D,3.1081288910221E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-03-29,9.3834500188860E+01,D,3.1688569404105E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-04-30,9.3647113245270E+01,D,3.2773396282123E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-05-31,9.3666211528420E+01,D,3.2806213721503E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-06-28,9.3627993438958E+01,D,3.2785651001632E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-07-31,9.3017387502454E+01,D,3.6191873959076E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-08-30,9.2941763549381E+01,D,3.6498548511698E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-09-30,9.2923697877628E+01,D,3.6645541991917E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-10-31,9.2760220269251E+01,D,3.7627694250452E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-11-29,9.2657942093872E+01,D,3.8023584412307E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1963-12-31,9.2472309032965E+01,D,3.9076944098009E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-01-31,9.2499533751202E+01,D,3.8929962400769E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-02-28,9.2336436758903E+01,D,3.9811143264463E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-03-31,9.2170758020182E+01,D,4.0763631931671E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-04-30,9.2362071605583E+01,D,3.9781381044931E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-05-28,9.2433105008067E+01,D,3.9181476983215E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-06-30,9.2721474983296E+01,D,3.7785039576420E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-07-31,9.2952817574709E+01,D,3.6639463454947E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-08-31,9.2804481492959E+01,D,3.7337627705982E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-09-30,9.2686819984102E+01,D,3.7971951384241E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-10-30,9.2557356171118E+01,D,3.8617932291829E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-11-30,9.2260351249794E+01,D,4.0277850346264E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1964-12-31,9.2444754774473E+01,D,3.9333364075243E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-01-29,9.2425547315950E+01,D,3.9275775774283E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-02-26,9.2228135607122E+01,D,4.0341946830440E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-03-31,9.2262734697643E+01,D,4.0264933545977E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-04-30,9.2286271637021E+01,D,4.0247665293254E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-05-28,9.2225011573316E+01,D,4.0303777217292E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-06-30,9.2437734166601E+01,D,3.9317456138905E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-07-30,9.2302478908086E+01,D,3.9994806590288E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-08-31,9.2151635685267E+01,D,4.0867375891364E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-09-30,9.1869370871821E+01,D,4.2459413422660E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-10-29,9.1819922581073E+01,D,4.2553860234576E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-11-30,9.1776532781275E+01,D,4.2906777616273E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1965-12-31,9.0855779084955E+01,D,4.8080119427949E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-01-31,9.0803561088104E+01,D,4.8235841058953E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-02-28,9.0652732954272E+01,D,4.8999927362900E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-03-31,9.0993272237559E+01,D,4.7257042465932E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-04-29,9.0763610524049E+01,D,4.8323480956270E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-05-31,9.0464318143072E+01,D,5.0038797690535E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-06-30,9.0354378963156E+01,D,5.0784920072065E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-07-29,9.0101544682629E+01,D,5.1903139007278E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-08-31,8.8975433471579E+01,D,5.8404941384017E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-09-30,8.9765034874666E+01,D,5.3913472659468E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-10-31,8.9957578727616E+01,D,5.2843598783687E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-11-30,8.9845496870211E+01,D,5.3539346160214E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1966-12-30,9.0841180671559E+01,D,4.7897510841685E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-01-31,9.1394025199782E+01,D,4.4933487141542E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-02-28,9.1136556968500E+01,D,4.6342106923295E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-03-31,9.2099947788556E+01,D,4.1260950340507E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-04-28,9.1659534203060E+01,D,4.3366377089102E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-05-31,9.1731342778838E+01,D,4.3212228894389E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-06-30,9.0614682592304E+01,D,4.9209553069989E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-07-31,9.0707406819795E+01,D,4.8698874032491E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-08-31,9.0228585494973E+01,D,5.1482472274902E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-09-29,9.0114953341244E+01,D,5.1899845505478E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-10-31,8.9463728531700E+01,D,5.5592301647566E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-11-30,8.9476786580720E+01,D,5.5671743698262E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1967-12-29,8.9181756996164E+01,D,5.7012545466314E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-01-31,8.9918952671874E+01,D,5.3130723621450E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-02-29,8.9834377855600E+01,D,5.3674755538459E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-03-29,8.9549474314120E+01,D,5.5038674293474E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-04-30,8.9369212027368E+01,D,5.6196973801961E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-05-31,8.9102989061801E+01,D,5.7847140280002E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-06-28,8.9505699017411E+01,D,5.5282485701668E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-07-31,8.9905553116231E+01,D,5.3205238246751E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-08-30,9.0235346133777E+01,D,5.1304206245897E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-09-30,8.9881650212578E+01,D,5.3338189331981E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-10-31,8.9632884480734E+01,D,5.4799026638383E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-11-29,8.9463522924204E+01,D,5.5593449187845E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1968-12-31,8.8171437699201E+01,D,6.2943555515694E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-01-31,8.8475963290190E+01,D,6.1387824592688E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-02-28,8.8199501988101E+01,D,6.2956922199446E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-03-28,8.8655871972708E+01,D,5.9957559047636E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-04-30,8.8563076887032E+01,D,6.0727577330542E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-05-29,8.7886602566667E+01,D,6.4649966382591E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-06-30,8.6916902322067E+01,D,7.0108834749612E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-07-31,8.6507379833106E+01,D,7.2569640256832E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-08-29,8.6407292521648E+01,D,7.2849468885011E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-09-30,8.5533361633741E+01,D,7.8131845802401E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-10-31,8.6583333739782E+01,D,7.2229311716002E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-11-28,8.6107356752054E+01,D,7.4583330806524E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1969-12-31,8.5023089831294E+01,D,8.1123660656285E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-01-30,8.5221270171175E+01,D,7.9850183122886E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-02-27,8.6869780133760E+01,D,7.0187690938127E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-03-31,8.7098465650675E+01,D,6.9065459117861E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-04-30,8.5958918280920E+01,D,7.5754121845289E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-05-29,8.5608008197986E+01,D,7.7377687541802E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-06-30,8.6141167909122E+01,D,7.4489334122940E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-07-31,8.6603393192167E+01,D,7.1817214873979E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-08-31,8.6905196190034E+01,D,7.0080180179838E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-09-30,8.7720227493671E+01,D,6.5508834517331E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-10-30,8.7767674894843E+01,D,6.5060214660349E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-11-30,8.9910986557676E+01,D,5.3102278967527E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1970-12-31,8.9778108432776E+01,D,5.3988467646800E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-01-29,9.1097178236652E+01,D,4.6430867265765E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-02-26,9.1764619733884E+01,D,4.2795811812320E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-03-31,9.2045895896364E+01,D,4.1441432446900E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-04-30,9.0084112826756E+01,D,5.2141755660840E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-05-28,8.9691237218711E+01,D,5.4102105789919E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-06-30,8.8227656629905E+01,D,6.2624852447398E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-07-30,8.8111949498756E+01,D,6.3108115828151E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-08-31,8.9669935157797E+01,D,5.4442743128001E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-09-30,8.9786248634852E+01,D,5.3943072399847E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-10-29,9.0523873708226E+01,D,4.9574555868466E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-11-30,9.0368471375118E+01,D,5.0568102470471E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1971-12-31,9.0787822885248E+01,D,4.8256404757838E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-01-31,9.0831558876584E+01,D,4.8015922924217E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-02-29,9.0908907715298E+01,D,4.7656097469039E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-03-30,8.9554336572713E+01,D,5.5237984617674E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-04-28,9.0262594311973E+01,D,5.1083570873133E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-05-31,9.0585705698302E+01,D,4.9436879568086E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-06-30,8.9731223209126E+01,D,5.4324533074656E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-07-31,9.0042547424787E+01,D,5.2443939102106E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-08-31,8.9363869511895E+01,D,5.6303993541937E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-09-29,8.9056894637548E+01,D,5.7868106241555E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-10-31,8.9129761073060E+01,D,5.7538444252926E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-11-30,8.9345861434654E+01,D,5.6404898957830E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1972-12-29,8.8811672313791E+01,D,5.9163958166108E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-01-31,8.8322845943403E+01,D,6.2085690443699E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-02-28,8.7779247875844E+01,D,6.5172535025419E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-03-30,8.7269669003092E+01,D,6.7990471368301E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-04-30,8.7579749012684E+01,D,6.6310195212626E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-05-31,8.7424850986629E+01,D,6.7287478328503E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-06-29,8.6981783350537E+01,D,6.9640340489298E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-07-31,8.5281400912797E+01,D,7.9606899245819E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-08-31,8.5837170169133E+01,D,7.6568808224407E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-09-28,8.6974012613131E+01,D,6.9589753534670E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-10-31,8.7421710255858E+01,D,6.7213266538138E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-11-30,8.7503700687263E+01,D,6.6927917096143E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1973-12-31,8.7478510451558E+01,D,6.6888508813606E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-01-31,8.7529161417727E+01,D,6.6690444119538E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-02-28,8.7275862964559E+01,D,6.8141467003690E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-03-29,8.5701828618540E+01,D,7.6832263835664E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-04-30,8.4944776545299E+01,D,8.1472807816426E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-05-31,8.5300799684473E+01,D,7.9711569677981E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-06-28,8.4697078865219E+01,D,8.2704655699131E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-07-31,8.4591843914316E+01,D,8.3666165827813E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-08-30,8.4064066168604E+01,D,8.6558348534057E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-09-30,8.5136678381422E+01,D,8.0346057116513E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-10-31,8.5740544992742E+01,D,7.7027701584979E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-11-29,8.6567302352363E+01,D,7.1926947894469E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1974-12-31,8.6625019754724E+01,D,7.1692541458904E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-01-31,8.7545883526096E+01,D,6.6412597484084E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-02-28,8.8318253360709E+01,D,6.2026722022617E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-03-31,8.7470419531327E+01,D,6.6843190316977E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-04-30,8.6275494508656E+01,D,7.3812292624071E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-05-30,8.7296669914977E+01,D,6.7743337975894E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-06-30,8.6813519984274E+01,D,7.0607186161061E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-07-31,8.6024377219804E+01,D,7.5372987534613E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-08-29,8.5765199561217E+01,D,7.6464195498510E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-09-30,8.5188442779453E+01,D,8.0042557631007E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-10-31,8.7079686069099E+01,D,6.9078649268202E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-11-28,8.6654800068833E+01,D,7.1325769236524E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1975-12-31,8.7608895225393E+01,D,6.6143824766045E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-01-30,8.8102604488438E+01,D,6.3161002933762E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-02-27,8.7488548342092E+01,D,6.6648541446000E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-03-31,8.7606845793504E+01,D,6.6155521385750E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-04-30,8.7733747193701E+01,D,6.5611539530246E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-05-28,8.6510372188959E+01,D,7.2156402808632E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-06-30,8.7082005235395E+01,D,6.9159961189448E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-07-30,8.7524971599123E+01,D,6.6531882443483E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-08-31,8.7849662021633E+01,D,6.4771609291705E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-09-30,8.8314446596762E+01,D,6.2218472555176E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-10-29,8.8744235744845E+01,D,5.9542725178451E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-11-30,8.9896305092036E+01,D,5.3256672777488E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1976-12-31,8.9969854596303E+01,D,5.2992948856483E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-01-31,8.8556424092356E+01,D,6.0765138381935E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-02-28,8.8712972012493E+01,D,5.9882030726171E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-03-31,8.8857297043000E+01,D,5.9150281281910E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-04-29,8.8675619971799E+01,D,6.0010391079951E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-05-31,8.8548226673522E+01,D,6.0811424116410E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-06-30,8.8757109651245E+01,D,5.9715127543228E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-07-29,8.8004512921842E+01,D,6.3716480592331E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-08-31,8.7843412969873E+01,D,6.4807177294387E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-09-30,8.7499613011446E+01,D,6.6951338971945E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-10-31,8.6902087921613E+01,D,7.0194063644737E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-11-30,8.6965074068325E+01,D,6.9831797712821E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1977-12-30,8.6778238606636E+01,D,7.0810151520542E+00
2000048,DISCBOND,5002,Fama Bliss Discount Bonds - 2-Year (Nominal),1978-01-31,8.6370540745301E+01,D,7.3261765957718E+00
